id,country,description,designation,points,price,province,region_1,region_2,taster_name,title,variety,winery
0,Italy,Test,Test,87,,Sicily & Sardinia,Etna,,Test,Test,Test,Test
1,Portugal,Test,Test,87,15,Douro,,,Test,Test,Test,Test
2,US,Test,Test,87,14,Oregon,Willamette Valley,Willamette Valley,Test,Test,Test,Test
3,US,Test,Test,87,13,Michigan,Lake Michigan Shore,,Test,Test,Test,Test
4,US,Test,Test,87,65,Oregon,Willamette Valley,Willamette Valley,Test,Test,Test,Test
5,Spain,Test,Test,87,15,Northern Spain,Navarra,,Test,Test,Test,Test
6,Italy,Test,Test,87,16,Sicily & Sardinia,Vittoria,,Test,Test,Test,Test
7,France,Test,Test,87,24,Alsace,Alsace,,Test,Test,Test,Test
8,Germany,Test,Test,87,12,Rheinhessen,,,Test,Test,Test,Test
9,France,Test,Test,87,27,Alsace,Alsace,,Test,Test,Test,Test
10,US,Test,Test,87,19,California,Napa Valley,Napa,Test,Test,Test,Test
11,France,Test,Test,87,30,Alsace,Alsace,,Test,Test,Test,Test
12,US,Test,Test,87,34,California,Alexander Valley,Sonoma,Test,Test,Test,Test
13,Italy,Test,Test,87,,Sicily & Sardinia,Etna,,Test,Test,Test,Test
14,US,Test,Test,87,12,California,Central Coast,Central Coast,Test,Test,Test,Test
15,Germany,Test,Test,87,24,Mosel,,,Test,Test,Test,Test
16,Argentina,Test,Test,87,30,Other,Cafayate,,Test,Test,Test,Test
17,Argentina,Test,Test,87,13,Mendoza Province,Mendoza,,Test,Test,Test,Test
18,Spain,Test,Test,87,28,Northern Spain,Ribera del Duero,,Test,Test,Test,Test
19,US,Test,Test,87,32,Virginia,Virginia,,Test,Test,Test,Test
20,US,Test,Test,87,23,Virginia,Virginia,,Test,Test,Test,Test
21,US,Test,Test,87,20,Oregon,Oregon,Oregon Other,Test,Test,Test,Test
22,Italy,Test,Test,87,19,Sicily & Sardinia,Sicilia,,Test,Test,Test,Test
23,US,Test,Test,87,22,California,Paso Robles,Central Coast,Test,Test,Test,Test
24,Italy,Test,Test,87,35,Sicily & Sardinia,Sicilia,,Test,Test,Test,Test
25,US,Test,Test,87,69,California,Sonoma Coast,Sonoma,Test,Test,Test,Test
26,Italy,Test,Test,87,13,Sicily & Sardinia,Terre Siciliane,,Test,Test,Test,Test
27,Italy,Test,Test,87,10,Sicily & Sardinia,Terre Siciliane,,Test,Test,Test,Test
28,Italy,Test,Test,87,17,Sicily & Sardinia,Cerasuolo di Vittoria,,Test,Test,Test,Test
29,US,Test,Test,86,16,California,Clarksburg,Central Valley,Test,Test,Test,Test
30,France,Test,Test,86,,Beaujolais,Beaujolais-Villages,,Test,Test,Test,Test
31,Italy,Test,Test,86,,Sicily & Sardinia,Sicilia,,Test,Test,Test,Test
32,Italy,Test,Test,86,,Sicily & Sardinia,Sicilia,,Test,Test,Test,Test
33,US,Test,Test,86,50,California,Dry Creek Valley,Sonoma,Test,Test,Test,Test
34,US,Test,Test,86,20,California,Sonoma Valley,Sonoma,Test,Test,Test,Test
35,US,Test,Test,86,50,Oregon,McMinnville,Willamette Valley,Test,Test,Test,Test
36,Chile,Test,Test,86,15,Colchagua Valley,,,Test,Test,Test,Test
37,Italy,Test,Test,86,21,Sicily & Sardinia,Sicilia,,Test,Test,Test,Test
